complaint_id,category,complaint_text,area,date_reported,priority,status,clean_text,tokens
110,Street Light,Street light near Crawford Market Street has not been working for 10 days.,Crawford,2026-06-22,Medium,Resolved,street light near crawford market street working days,"['street', 'light', 'near', 'crawford', 'market', 'street', 'working', 'days']"
111,Garbage,Uncollected garbage near the market in Ponmalai is causing a hygiene issue.,Ponmalai,2026-03-17,High,Resolved,uncollected garbage near market ponmalai causing hygiene issue,"['uncollected', 'garbage', 'near', 'market', 'ponmalai', 'causing', 'hygiene', 'issue']"
112,Electricity,Low voltage supply in Anna Nagar is damaging household appliances.,Anna Nagar,2025-10-03,Medium,Pending,low voltage supply anna nagar damaging household appliances,"['low', 'voltage', 'supply', 'anna', 'nagar', 'damaging', 'household', 'appliances']"
113,Drainage,Drainage cleaning has not been done in Edamalaipatti Pudur Colony Road for months.,Edamalaipatti Pudur,2025-02-16,Low,In Progress,drainage cleaning done edamalaipatti pudur colony road months,"['drainage', 'cleaning', 'done', 'edamalaipatti', 'pudur', 'colony', 'road', 'months']"
114,Garbage,"Dead animal lying near the garbage dump in Vayalur Road Main Road, needs urgent removal.",Vayalur Road,2025-07-31,Medium,In Progress,dead animal lying near garbage dump vayalur road main road needs urgent removal,"['dead', 'animal', 'lying', 'near', 'garbage', 'dump', 'vayalur', 'road', 'main', 'road', 'needs', 'urgent', 'removal']"
117,Water Supply,"Water pressure is extremely low in Crawford, unable to fill overhead tank.",Crawford,2025-03-04,Medium,In Progress,water pressure extremely low crawford unable fill overhead tank,"['water', 'pressure', 'extremely', 'low', 'crawford', 'unable', 'fill', 'overhead', 'tank']"
118,Drainage,"Drainage cover is missing on Srirangam Bypass Road, risk of accidents.",Srirangam,2026-03-24,Medium,Resolved,drainage cover missing srirangam bypass road risk accidents,"['drainage', 'cover', 'missing', 'srirangam', 'bypass', 'road', 'risk', 'accidents']"
119,Electricity,Electric pole near Anna Nagar is leaning dangerously and needs urgent repair.,Anna Nagar,2025-01-21,Medium,In Progress,electric pole near anna nagar leaning dangerously needs urgent repair,"['electric', 'pole', 'near', 'anna', 'nagar', 'leaning', 'dangerously', 'needs', 'urgent', 'repair']"
120,Electricity,Transformer near Srirangam Bypass Road is making loud noise and sparking.,Srirangam,2025-03-16,Medium,Resolved,transformer near srirangam bypass road making loud noise sparking,"['transformer', 'near', 'srirangam', 'bypass', 'road', 'making', 'loud', 'noise', 'sparking']"
121,Water Supply,Pipeline leakage near Thiruverumbur Market Street is wasting a large amount of water daily.,Thiruverumbur,2025-03-24,Medium,Resolved,pipeline leakage near thiruverumbur market street wasting large amount water daily,"['pipeline', 'leakage', 'near', 'thiruverumbur', 'market', 'street', 'wasting', 'large', 'amount', 'water', 'daily']"
122,Street Light,Street light timer in Ponmalai is faulty; lights stay on during the day.,Ponmalai,2025-03-16,High,Pending,street light timer ponmalai faulty lights stay day,"['street', 'light', 'timer', 'ponmalai', 'faulty', 'lights', 'stay', 'day']"
123,Road Damage,Uneven road surface on Edamalaipatti Pudur Cross Street makes it difficult for vehicles to pass.,Edamalaipatti Pudur,2025-08-23,Medium,Pending,uneven road surface edamalaipatti pudur cross street makes difficult vehicles pass,"['uneven', 'road', 'surface', 'edamalaipatti', 'pudur', 'cross', 'street', 'makes', 'difficult', 'vehicles', 'pass']"
124,Street Light,Street light near Palpannai 2nd Street has not been working for 10 days.,Palpannai,2026-03-14,High,In Progress,street light near palpannai nd street working days,"['street', 'light', 'near', 'palpannai', 'nd', 'street', 'working', 'days']"
125,Water Supply,New water connection request in Gandhi Nagar is pending for over a month.,Gandhi Nagar,2025-12-08,Low,Pending,new water connection request gandhi nagar pending month,"['new', 'water', 'connection', 'request', 'gandhi', 'nagar', 'pending', 'month']"
126,Street Light,Street light near Edamalaipatti Pudur bus stop flickers constantly at night.,Edamalaipatti Pudur,2025-07-26,High,In Progress,street light near edamalaipatti pudur bus stop flickers constantly night,"['street', 'light', 'near', 'edamalaipatti', 'pudur', 'bus', 'stop', 'flickers', 'constantly', 'night']"
127,Water Supply,Contaminated/muddy water is coming from the tap in Edamalaipatti Pudur Main Road.,Edamalaipatti Pudur,2025-05-10,High,Resolved,contaminatedmuddy water coming tap edamalaipatti pudur main road,"['contaminatedmuddy', 'water', 'coming', 'tap', 'edamalaipatti', 'pudur', 'main', 'road']"
128,Water Supply,No water supply since the pipeline repair work started in Melapudur 2nd Street.,Melapudur,2025-06-24,Low,Pending,water supply since pipeline repair work started melapudur nd street,"['water', 'supply', 'since', 'pipeline', 'repair', 'work', 'started', 'melapudur', 'nd', 'street']"
129,Road Damage,Broken footpath tiles on Crawford Cross Street are a tripping hazard for pedestrians.,Crawford,2026-03-26,Low,Pending,broken footpath tiles crawford cross street tripping hazard pedestrians,"['broken', 'footpath', 'tiles', 'crawford', 'cross', 'street', 'tripping', 'hazard', 'pedestrians']"
130,Water Supply,Salty/foul smelling water is being supplied in Vayalur Road 2nd Street.,Vayalur Road,2026-03-01,High,Pending,saltyfoul smelling water supplied vayalur road nd street,"['saltyfoul', 'smelling', 'water', 'supplied', 'vayalur', 'road', 'nd', 'street']"
131,Electricity,Low voltage supply in Golden Rock is damaging household appliances.,Golden Rock,2026-04-21,High,In Progress,low voltage supply golden rock damaging household appliances,"['low', 'voltage', 'supply', 'golden', 'rock', 'damaging', 'household', 'appliances']"
132,Electricity,Street junction box in Thillai Nagar is open with live wires exposed.,Thillai Nagar,2026-03-22,High,Pending,street junction box thillai nagar open live wires exposed,"['street', 'junction', 'box', 'thillai', 'nagar', 'open', 'live', 'wires', 'exposed']"
133,Drainage,Foul smell from the drainage line near Vayalur Road market is unbearable.,Vayalur Road,2025-08-09,High,Pending,foul smell drainage line near vayalur road market unbearable,"['foul', 'smell', 'drainage', 'line', 'near', 'vayalur', 'road', 'market', 'unbearable']"
134,Electricity,Transformer near Bharathi Nagar Colony Road is making loud noise and sparking.,Bharathi Nagar,2025-10-29,Low,Pending,transformer near bharathi nagar colony road making loud noise sparking,"['transformer', 'near', 'bharathi', 'nagar', 'colony', 'road', 'making', 'loud', 'noise', 'sparking']"
135,Garbage,Uncollected garbage near the market in Kattur is causing a hygiene issue.,Kattur,2025-07-16,High,Pending,uncollected garbage near market kattur causing hygiene issue,"['uncollected', 'garbage', 'near', 'market', 'kattur', 'causing', 'hygiene', 'issue']"
136,Drainage,Drainage cleaning has not been done in Palpannai Main Road for months.,Palpannai,2026-06-12,High,Pending,drainage cleaning done palpannai main road months,"['drainage', 'cleaning', 'done', 'palpannai', 'main', 'road', 'months']"
137,Drainage,Foul smell from the drainage line near Puthur market is unbearable.,Puthur,2025-11-27,High,In Progress,foul smell drainage line near puthur market unbearable,"['foul', 'smell', 'drainage', 'line', 'near', 'puthur', 'market', 'unbearable']"
138,Garbage,Construction debris dumped illegally on Thiruverumbur 3rd Street is blocking the footpath.,Thiruverumbur,2026-05-27,Medium,Resolved,construction debris dumped illegally thiruverumbur rd street blocking footpath,"['construction', 'debris', 'dumped', 'illegally', 'thiruverumbur', 'rd', 'street', 'blocking', 'footpath']"
139,Drainage,"Drainage cover is missing on Thillai Nagar Colony Road, risk of accidents.",Thillai Nagar,2025-07-21,High,Resolved,drainage cover missing thillai nagar colony road risk accidents,"['drainage', 'cover', 'missing', 'thillai', 'nagar', 'colony', 'road', 'risk', 'accidents']"
140,Garbage,Overflowing garbage bin near Crawford Market Street is attracting stray dogs and flies.,Crawford,2025-06-08,Low,Pending,overflowing garbage bin near crawford market street attracting stray dogs flies,"['overflowing', 'garbage', 'bin', 'near', 'crawford', 'market', 'street', 'attracting', 'stray', 'dogs', 'flies']"
141,Water Supply,No water supply in Anna Nagar Colony Road for the past 2 days.,Anna Nagar,2026-05-20,Low,Pending,water supply anna nagar colony road past days,"['water', 'supply', 'anna', 'nagar', 'colony', 'road', 'past', 'days']"
142,Garbage,Public dustbin at Gandhi Nagar junction is broken and waste is scattered on the road.,Gandhi Nagar,2025-08-31,Low,In Progress,public dustbin gandhi nagar junction broken waste scattered road,"['public', 'dustbin', 'gandhi', 'nagar', 'junction', 'broken', 'waste', 'scattered', 'road']"
143,Garbage,Plastic waste is piling up near the Ponmalai 3rd Street community bin.,Ponmalai,2025-08-17,Low,Resolved,plastic waste piling near ponmalai rd street community bin,"['plastic', 'waste', 'piling', 'near', 'ponmalai', 'rd', 'street', 'community', 'bin']"
144,Road Damage,"Road repair work in K.K. Nagar was left incomplete, causing traffic issues.",K.K. Nagar,2026-03-30,Low,Pending,road repair work kk nagar left incomplete causing traffic issues,"['road', 'repair', 'work', 'kk', 'nagar', 'left', 'incomplete', 'causing', 'traffic', 'issues']"
145,Street Light,"No streetlight coverage on Edamalaipatti Pudur Lake Road, unsafe for women at night.",Edamalaipatti Pudur,2025-06-02,High,Resolved,streetlight coverage edamalaipatti pudur lake road unsafe women night,"['streetlight', 'coverage', 'edamalaipatti', 'pudur', 'lake', 'road', 'unsafe', 'women', 'night']"
147,Garbage,No garbage collection has happened in Puthur since last Monday.,Puthur,2025-04-11,Low,In Progress,garbage collection happened puthur since last monday,"['garbage', 'collection', 'happened', 'puthur', 'since', 'last', 'monday']"
148,Garbage,Uncollected garbage near the market in Bharathi Nagar is causing a hygiene issue.,Bharathi Nagar,2025-08-14,Medium,Pending,uncollected garbage near market bharathi nagar causing hygiene issue,"['uncollected', 'garbage', 'near', 'market', 'bharathi', 'nagar', 'causing', 'hygiene', 'issue']"
149,Street Light,Street light timer in Kattur is faulty; lights stay on during the day.,Kattur,2025-09-12,Low,In Progress,street light timer kattur faulty lights stay day,"['street', 'light', 'timer', 'kattur', 'faulty', 'lights', 'stay', 'day']"
150,Drainage,Open drain near Puthur school is a safety hazard for children.,Puthur,2026-04-05,Low,Resolved,open drain near puthur school safety hazard children,"['open', 'drain', 'near', 'puthur', 'school', 'safety', 'hazard', 'children']"
151,Street Light,Entire stretch of Chinthamani Lake Road is dark at night due to non-functional lights.,Chinthamani,2026-06-25,High,In Progress,entire stretch chinthamani lake road dark night due nonfunctional lights,"['entire', 'stretch', 'chinthamani', 'lake', 'road', 'dark', 'night', 'due', 'nonfunctional', 'lights']"
152,Garbage,Public dustbin at Woraiyur junction is broken and waste is scattered on the road.,Woraiyur,2025-08-14,Medium,Resolved,public dustbin woraiyur junction broken waste scattered road,"['public', 'dustbin', 'woraiyur', 'junction', 'broken', 'waste', 'scattered', 'road']"
153,Garbage,Construction debris dumped illegally on Kattur Cross Street is blocking the footpath.,Kattur,2025-06-17,Medium,Pending,construction debris dumped illegally kattur cross street blocking footpath,"['construction', 'debris', 'dumped', 'illegally', 'kattur', 'cross', 'street', 'blocking', 'footpath']"
154,Garbage,Overflowing garbage bin near Bharathi Nagar 3rd Street is attracting stray dogs and flies.,Bharathi Nagar,2025-09-18,Low,Resolved,overflowing garbage bin near bharathi nagar rd street attracting stray dogs flies,"['overflowing', 'garbage', 'bin', 'near', 'bharathi', 'nagar', 'rd', 'street', 'attracting', 'stray', 'dogs', 'flies']"
155,Water Supply,No water supply in Kattur Cross Street for the past 2 days.,Kattur,2025-08-01,High,Pending,water supply kattur cross street past days,"['water', 'supply', 'kattur', 'cross', 'street', 'past', 'days']"
156,Drainage,Broken underground drainage pipe in Woraiyur is leaking onto the street.,Woraiyur,2026-03-06,Medium,In Progress,broken underground drainage pipe woraiyur leaking onto street,"['broken', 'underground', 'drainage', 'pipe', 'woraiyur', 'leaking', 'onto', 'street']"
157,Electricity,Repeated tripping of power supply in Anna Nagar disrupts daily work.,Anna Nagar,2025-12-02,Low,Pending,repeated tripping power supply anna nagar disrupts daily work,"['repeated', 'tripping', 'power', 'supply', 'anna', 'nagar', 'disrupts', 'daily', 'work']"
158,Electricity,Frequent power cuts in Anna Nagar Main Road for the past week without prior notice.,Anna Nagar,2025-09-08,Low,In Progress,frequent power cuts anna nagar main road past week without prior notice,"['frequent', 'power', 'cuts', 'anna', 'nagar', 'main', 'road', 'past', 'week', 'without', 'prior', 'notice']"
159,Electricity,Overhead electric line is sagging dangerously low on Edamalaipatti Pudur Main Road.,Edamalaipatti Pudur,2025-03-31,Medium,In Progress,overhead electric line sagging dangerously low edamalaipatti pudur main road,"['overhead', 'electric', 'line', 'sagging', 'dangerously', 'low', 'edamalaipatti', 'pudur', 'main', 'road']"
160,Electricity,Overhead electric line is sagging dangerously low on Thiruverumbur Colony Road.,Thiruverumbur,2026-06-17,Medium,Pending,overhead electric line sagging dangerously low thiruverumbur colony road,"['overhead', 'electric', 'line', 'sagging', 'dangerously', 'low', 'thiruverumbur', 'colony', 'road']"
161,Electricity,Electric pole near Puthur is leaning dangerously and needs urgent repair.,Puthur,2025-11-15,Medium,Pending,electric pole near puthur leaning dangerously needs urgent repair,"['electric', 'pole', 'near', 'puthur', 'leaning', 'dangerously', 'needs', 'urgent', 'repair']"
162,Garbage,Construction debris dumped illegally on Vayalur Road 3rd Street is blocking the footpath.,Vayalur Road,2025-07-25,High,In Progress,construction debris dumped illegally vayalur road rd street blocking footpath,"['construction', 'debris', 'dumped', 'illegally', 'vayalur', 'road', 'rd', 'street', 'blocking', 'footpath']"
163,Road Damage,Newly laid road in Kattur is already cracking within a few months.,Kattur,2025-04-22,Low,Resolved,newly laid road kattur already cracking within months,"['newly', 'laid', 'road', 'kattur', 'already', 'cracking', 'within', 'months']"
164,Road Damage,Waterlogged potholes on Gandhi Nagar Main Road are damaging vehicle tyres.,Gandhi Nagar,2025-12-18,Low,In Progress,waterlogged potholes gandhi nagar main road damaging vehicle tyres,"['waterlogged', 'potholes', 'gandhi', 'nagar', 'main', 'road', 'damaging', 'vehicle', 'tyres']"
165,Water Supply,Salty/foul smelling water is being supplied in K.K. Nagar Colony Road.,K.K. Nagar,2025-02-16,Low,Resolved,saltyfoul smelling water supplied kk nagar colony road,"['saltyfoul', 'smelling', 'water', 'supplied', 'kk', 'nagar', 'colony', 'road']"
166,Street Light,Entire stretch of Cantonment 2nd Street is dark at night due to non-functional lights.,Cantonment,2026-05-04,Medium,Pending,entire stretch cantonment nd street dark night due nonfunctional lights,"['entire', 'stretch', 'cantonment', 'nd', 'street', 'dark', 'night', 'due', 'nonfunctional', 'lights']"
167,Garbage,"Garbage has not been collected in Ariyamangalam Cross Street for over a week, causing bad smell.",Ariyamangalam,2025-02-02,Medium,Pending,garbage collected ariyamangalam cross street week causing bad smell,"['garbage', 'collected', 'ariyamangalam', 'cross', 'street', 'week', 'causing', 'bad', 'smell']"
168,Garbage,Household waste is being dumped on the roadside in Puthur instead of the bin.,Puthur,2026-03-30,High,Resolved,household waste dumped roadside puthur instead bin,"['household', 'waste', 'dumped', 'roadside', 'puthur', 'instead', 'bin']"
170,Water Supply,Pipeline leakage near Chinthamani Colony Road is wasting a large amount of water daily.,Chinthamani,2026-03-02,Medium,In Progress,pipeline leakage near chinthamani colony road wasting large amount water daily,"['pipeline', 'leakage', 'near', 'chinthamani', 'colony', 'road', 'wasting', 'large', 'amount', 'water', 'daily']"
171,Road Damage,"Speed breaker on Bharathi Nagar Lake Road is broken and unmarked, risky at night.",Bharathi Nagar,2025-02-27,High,Pending,speed breaker bharathi nagar lake road broken unmarked risky night,"['speed', 'breaker', 'bharathi', 'nagar', 'lake', 'road', 'broken', 'unmarked', 'risky', 'night']"
172,Street Light,Entire stretch of Anna Nagar Market Street is dark at night due to non-functional lights.,Anna Nagar,2025-01-17,Low,Pending,entire stretch anna nagar market street dark night due nonfunctional lights,"['entire', 'stretch', 'anna', 'nagar', 'market', 'street', 'dark', 'night', 'due', 'nonfunctional', 'lights']"
174,Drainage,Broken underground drainage pipe in Chinthamani is leaking onto the street.,Chinthamani,2026-02-04,Medium,Pending,broken underground drainage pipe chinthamani leaking onto street,"['broken', 'underground', 'drainage', 'pipe', 'chinthamani', 'leaking', 'onto', 'street']"
175,Street Light,Street light near Ariyamangalam Main Road has not been working for 10 days.,Ariyamangalam,2026-02-16,Medium,Pending,street light near ariyamangalam main road working days,"['street', 'light', 'near', 'ariyamangalam', 'main', 'road', 'working', 'days']"
176,Drainage,Drainage cleaning has not been done in Golden Rock 3rd Street for months.,Golden Rock,2026-03-03,High,Resolved,drainage cleaning done golden rock rd street months,"['drainage', 'cleaning', 'done', 'golden', 'rock', 'rd', 'street', 'months']"
177,Electricity,Low voltage supply in Bharathi Nagar is damaging household appliances.,Bharathi Nagar,2025-03-28,High,Resolved,low voltage supply bharathi nagar damaging household appliances,"['low', 'voltage', 'supply', 'bharathi', 'nagar', 'damaging', 'household', 'appliances']"
178,Drainage,Broken underground drainage pipe in Crawford is leaking onto the street.,Crawford,2025-07-06,Low,In Progress,broken underground drainage pipe crawford leaking onto street,"['broken', 'underground', 'drainage', 'pipe', 'crawford', 'leaking', 'onto', 'street']"
179,Street Light,Street light timer in Vayalur Road is faulty; lights stay on during the day.,Vayalur Road,2025-11-04,Medium,Pending,street light timer vayalur road faulty lights stay day,"['street', 'light', 'timer', 'vayalur', 'road', 'faulty', 'lights', 'stay', 'day']"
180,Road Damage,Uneven road surface on Ponmalai 3rd Street makes it difficult for vehicles to pass.,Ponmalai,2025-09-16,High,Pending,uneven road surface ponmalai rd street makes difficult vehicles pass,"['uneven', 'road', 'surface', 'ponmalai', 'rd', 'street', 'makes', 'difficult', 'vehicles', 'pass']"
181,Drainage,Foul smell from the drainage line near Chinthamani market is unbearable.,Chinthamani,2026-03-24,Low,Pending,foul smell drainage line near chinthamani market unbearable,"['foul', 'smell', 'drainage', 'line', 'near', 'chinthamani', 'market', 'unbearable']"
182,Drainage,Open drain near Melapudur school is a safety hazard for children.,Melapudur,2025-07-11,High,Resolved,open drain near melapudur school safety hazard children,"['open', 'drain', 'near', 'melapudur', 'school', 'safety', 'hazard', 'children']"
183,Water Supply,Salty/foul smelling water is being supplied in Woraiyur Market Street.,Woraiyur,2026-04-08,Low,In Progress,saltyfoul smelling water supplied woraiyur market street,"['saltyfoul', 'smelling', 'water', 'supplied', 'woraiyur', 'market', 'street']"
184,Drainage,Broken underground drainage pipe in Thiruverumbur is leaking onto the street.,Thiruverumbur,2026-02-25,Medium,Resolved,broken underground drainage pipe thiruverumbur leaking onto street,"['broken', 'underground', 'drainage', 'pipe', 'thiruverumbur', 'leaking', 'onto', 'street']"
185,Garbage,Plastic waste is piling up near the Kattur Bypass Road community bin.,Kattur,2025-05-08,High,In Progress,plastic waste piling near kattur bypass road community bin,"['plastic', 'waste', 'piling', 'near', 'kattur', 'bypass', 'road', 'community', 'bin']"
186,Street Light,"Street light pole in Puthur is damaged and sparking, safety concern.",Puthur,2026-03-02,High,Resolved,street light pole puthur damaged sparking safety concern,"['street', 'light', 'pole', 'puthur', 'damaged', 'sparking', 'safety', 'concern']"
187,Road Damage,Deep crack across the road in Kattur is widening every day.,Kattur,2025-12-01,Low,Resolved,deep crack across road kattur widening every day,"['deep', 'crack', 'across', 'road', 'kattur', 'widening', 'every', 'day']"
188,Electricity,Frequent power cuts in Kattur 3rd Street for the past week without prior notice.,Kattur,2025-10-30,Medium,In Progress,frequent power cuts kattur rd street past week without prior notice,"['frequent', 'power', 'cuts', 'kattur', 'rd', 'street', 'past', 'week', 'without', 'prior', 'notice']"
189,Electricity,"Electricity meter in Crawford Bypass Road is malfunctioning, incorrect readings.",Crawford,2026-02-02,Medium,Pending,electricity meter crawford bypass road malfunctioning incorrect readings,"['electricity', 'meter', 'crawford', 'bypass', 'road', 'malfunctioning', 'incorrect', 'readings']"
190,Street Light,Broken street light glass in Cantonment Colony Road is scattered on the footpath.,Cantonment,2025-02-08,Low,In Progress,broken street light glass cantonment colony road scattered footpath,"['broken', 'street', 'light', 'glass', 'cantonment', 'colony', 'road', 'scattered', 'footpath']"
191,Road Damage,Road near Chinthamani junction has completely eroded after recent rains.,Chinthamani,2025-06-09,High,In Progress,road near chinthamani junction completely eroded recent rains,"['road', 'near', 'chinthamani', 'junction', 'completely', 'eroded', 'recent', 'rains']"
192,Garbage,Construction debris dumped illegally on Woraiyur Lake Road is blocking the footpath.,Woraiyur,2025-09-20,Medium,Pending,construction debris dumped illegally woraiyur lake road blocking footpath,"['construction', 'debris', 'dumped', 'illegally', 'woraiyur', 'lake', 'road', 'blocking', 'footpath']"
193,Garbage,Uncollected garbage near the market in Vayalur Road is causing a hygiene issue.,Vayalur Road,2025-01-30,Medium,In Progress,uncollected garbage near market vayalur road causing hygiene issue,"['uncollected', 'garbage', 'near', 'market', 'vayalur', 'road', 'causing', 'hygiene', 'issue']"
194,Drainage,Drainage water is overflowing onto the road in Vayalur Road Main Road.,Vayalur Road,2026-04-16,Low,In Progress,drainage water overflowing onto road vayalur road main road,"['drainage', 'water', 'overflowing', 'onto', 'road', 'vayalur', 'road', 'main', 'road']"
195,Street Light,Newly installed street light in Woraiyur Colony Road is not switching on.,Woraiyur,2025-12-29,Medium,In Progress,newly installed street light woraiyur colony road switching,"['newly', 'installed', 'street', 'light', 'woraiyur', 'colony', 'road', 'switching']"
197,Electricity,Power has not been restored in Ponmalai since yesterday's outage.,Ponmalai,2025-10-15,Medium,Resolved,power restored ponmalai since yesterdays outage,"['power', 'restored', 'ponmalai', 'since', 'yesterdays', 'outage']"
199,Electricity,Transformer near Vayalur Road Lake Road is making loud noise and sparking.,Vayalur Road,2026-01-23,Medium,Resolved,transformer near vayalur road lake road making loud noise sparking,"['transformer', 'near', 'vayalur', 'road', 'lake', 'road', 'making', 'loud', 'noise', 'sparking']"
200,Electricity,Power has not been restored in Thillai Nagar since yesterday's outage.,Thillai Nagar,2026-02-02,High,In Progress,power restored thillai nagar since yesterdays outage,"['power', 'restored', 'thillai', 'nagar', 'since', 'yesterdays', 'outage']"
201,Electricity,Electric pole near Thillai Nagar is leaning dangerously and needs urgent repair.,Thillai Nagar,2025-06-24,Medium,Pending,electric pole near thillai nagar leaning dangerously needs urgent repair,"['electric', 'pole', 'near', 'thillai', 'nagar', 'leaning', 'dangerously', 'needs', 'urgent', 'repair']"
202,Electricity,Electric pole near Vayalur Road is leaning dangerously and needs urgent repair.,Vayalur Road,2025-06-01,High,In Progress,electric pole near vayalur road leaning dangerously needs urgent repair,"['electric', 'pole', 'near', 'vayalur', 'road', 'leaning', 'dangerously', 'needs', 'urgent', 'repair']"
203,Garbage,No garbage collection has happened in Palpannai since last Monday.,Palpannai,2025-06-08,Low,In Progress,garbage collection happened palpannai since last monday,"['garbage', 'collection', 'happened', 'palpannai', 'since', 'last', 'monday']"
204,Road Damage,Broken footpath tiles on Ariyamangalam Cross Street are a tripping hazard for pedestrians.,Ariyamangalam,2025-03-26,Medium,Pending,broken footpath tiles ariyamangalam cross street tripping hazard pedestrians,"['broken', 'footpath', 'tiles', 'ariyamangalam', 'cross', 'street', 'tripping', 'hazard', 'pedestrians']"
206,Road Damage,Missing manhole cover on Bharathi Nagar Market Street is extremely dangerous for commuters.,Bharathi Nagar,2025-04-27,Medium,In Progress,missing manhole cover bharathi nagar market street extremely dangerous commuters,"['missing', 'manhole', 'cover', 'bharathi', 'nagar', 'market', 'street', 'extremely', 'dangerous', 'commuters']"
207,Electricity,Overhead electric line is sagging dangerously low on Gandhi Nagar Market Street.,Gandhi Nagar,2026-01-03,Medium,Resolved,overhead electric line sagging dangerously low gandhi nagar market street,"['overhead', 'electric', 'line', 'sagging', 'dangerously', 'low', 'gandhi', 'nagar', 'market', 'street']"
208,Road Damage,"Speed breaker on Woraiyur 2nd Street is broken and unmarked, risky at night.",Woraiyur,2025-11-06,Low,In Progress,speed breaker woraiyur nd street broken unmarked risky night,"['speed', 'breaker', 'woraiyur', 'nd', 'street', 'broken', 'unmarked', 'risky', 'night']"
209,Drainage,Drainage water is overflowing onto the road in Kattur 2nd Street.,Kattur,2026-04-06,Medium,In Progress,drainage water overflowing onto road kattur nd street,"['drainage', 'water', 'overflowing', 'onto', 'road', 'kattur', 'nd', 'street']"
210,Drainage,Foul smell from the drainage line near Crawford market is unbearable.,Crawford,2026-03-01,Low,In Progress,foul smell drainage line near crawford market unbearable,"['foul', 'smell', 'drainage', 'line', 'near', 'crawford', 'market', 'unbearable']"
211,Electricity,Exposed electrical wires near Thillai Nagar Colony Road are a serious safety hazard.,Thillai Nagar,2025-01-29,Medium,Pending,exposed electrical wires near thillai nagar colony road serious safety hazard,"['exposed', 'electrical', 'wires', 'near', 'thillai', 'nagar', 'colony', 'road', 'serious', 'safety', 'hazard']"
212,Water Supply,New water connection request in Woraiyur is pending for over a month.,Woraiyur,2025-04-28,High,Pending,new water connection request woraiyur pending month,"['new', 'water', 'connection', 'request', 'woraiyur', 'pending', 'month']"
213,Garbage,Household waste is being dumped on the roadside in Palpannai instead of the bin.,Palpannai,2025-06-17,Medium,In Progress,household waste dumped roadside palpannai instead bin,"['household', 'waste', 'dumped', 'roadside', 'palpannai', 'instead', 'bin']"
214,Water Supply,No water supply since the pipeline repair work started in Cantonment 3rd Street.,Cantonment,2025-05-16,High,In Progress,water supply since pipeline repair work started cantonment rd street,"['water', 'supply', 'since', 'pipeline', 'repair', 'work', 'started', 'cantonment', 'rd', 'street']"
215,Street Light,Street light near Woraiyur park has been off since last month.,Woraiyur,2025-05-24,High,In Progress,street light near woraiyur park since last month,"['street', 'light', 'near', 'woraiyur', 'park', 'since', 'last', 'month']"
216,Drainage,Drainage cleaning has not been done in K.K. Nagar Bypass Road for months.,K.K. Nagar,2025-11-14,High,Resolved,drainage cleaning done kk nagar bypass road months,"['drainage', 'cleaning', 'done', 'kk', 'nagar', 'bypass', 'road', 'months']"
217,Drainage,"Drainage cover is missing on K.K. Nagar Colony Road, risk of accidents.",K.K. Nagar,2026-07-01,Low,Resolved,drainage cover missing kk nagar colony road risk accidents,"['drainage', 'cover', 'missing', 'kk', 'nagar', 'colony', 'road', 'risk', 'accidents']"
218,Garbage,Public dustbin at Ariyamangalam junction is broken and waste is scattered on the road.,Ariyamangalam,2026-05-13,Low,Resolved,public dustbin ariyamangalam junction broken waste scattered road,"['public', 'dustbin', 'ariyamangalam', 'junction', 'broken', 'waste', 'scattered', 'road']"
219,Electricity,Low voltage supply in Ariyamangalam is damaging household appliances.,Ariyamangalam,2026-07-01,High,Pending,low voltage supply ariyamangalam damaging household appliances,"['low', 'voltage', 'supply', 'ariyamangalam', 'damaging', 'household', 'appliances']"
220,Street Light,"No streetlight coverage on Ponmalai Market Street, unsafe for women at night.",Ponmalai,2026-04-23,High,Resolved,streetlight coverage ponmalai market street unsafe women night,"['streetlight', 'coverage', 'ponmalai', 'market', 'street', 'unsafe', 'women', 'night']"
221,Street Light,"No streetlight coverage on Kattur 3rd Street, unsafe for women at night.",Kattur,2025-08-13,Low,In Progress,streetlight coverage kattur rd street unsafe women night,"['streetlight', 'coverage', 'kattur', 'rd', 'street', 'unsafe', 'women', 'night']"
222,Drainage,Drainage cleaning has not been done in Bharathi Nagar 2nd Street for months.,Bharathi Nagar,2025-06-16,Low,Resolved,drainage cleaning done bharathi nagar nd street months,"['drainage', 'cleaning', 'done', 'bharathi', 'nagar', 'nd', 'street', 'months']"
223,Water Supply,New water connection request in Golden Rock is pending for over a month.,Golden Rock,2025-09-09,Low,In Progress,new water connection request golden rock pending month,"['new', 'water', 'connection', 'request', 'golden', 'rock', 'pending', 'month']"
224,Electricity,Low voltage supply in Melapudur is damaging household appliances.,Melapudur,2026-01-03,High,Pending,low voltage supply melapudur damaging household appliances,"['low', 'voltage', 'supply', 'melapudur', 'damaging', 'household', 'appliances']"
225,Garbage,The garbage truck has skipped our street (Ariyamangalam Cross Street) for three days in a row.,Ariyamangalam,2025-12-13,Low,Resolved,garbage truck skipped street ariyamangalam cross street three days row,"['garbage', 'truck', 'skipped', 'street', 'ariyamangalam', 'cross', 'street', 'three', 'days', 'row']"
